Date,Meal,Food_Item,Calories,Protein_g,Carbs_g,Fat_g,Notes
2025-01-01,Breakfast,Oatmeal with banana,350,12,60,6,Healthy start
2025-01-01,Lunch,Grilled chicken rice,550,42,55,10,High protein
2025-01-01,Dinner,Dal and roti,480,18,72,8,Home cooked
2025-01-02,Breakfast,Eggs and toast,320,20,30,12,Protein breakfast
2025-01-02,Lunch,Paneer salad,400,28,20,18,Low carb
2025-01-02,Dinner,Vegetable curry rice,520,15,80,10,Light dinner
2025-01-03,Breakfast,Smoothie,280,10,45,5,Quick morning
2025-01-03,Lunch,Chicken sandwich,450,30,40,15,Cafe
2025-01-03,Dinner,Fish curry rice,580,38,65,12,Omega 3
2025-01-04,Breakfast,Idli sambar,300,10,55,4,South Indian
2025-01-04,Lunch,Rajma rice,500,20,75,8,Protein rich
2025-01-04,Dinner,Vegetable soup bread,380,12,50,8,Light meal
2025-01-05,Breakfast,Poha,260,8,48,5,Light breakfast
2025-01-05,Lunch,Grilled salmon salad,420,35,15,20,Healthy fats
2025-01-05,Dinner,Chicken tikka roti,540,40,45,16,Protein rich dinner
2025-01-06,Breakfast,Greek yogurt fruit,220,15,30,4,High protein snack
2025-01-06,Lunch,Chole bhature,650,20,90,20,Cheat meal
2025-01-06,Dinner,Palak paneer rice,490,22,60,14,Iron rich
2025-01-07,Breakfast,Avocado toast eggs,420,18,35,22,Weekend brunch
2025-01-07,Lunch,Biryani,600,30,85,16,Sunday special
